car_brand,car_model,mileage_km,engine_size_cc,transmission,fuel_type,steering_type,drive_train,no_of_seats,no_of_doors,body_type,Power Steering,Air Conditioner,Navigation,Air Bag,Anti-Lock Brake System,Fog Lights,Power Windows,Alloy Wheels,year,price(Ksh),redundant_price_column,car_age,mileage_category
TOYOTA,PRIUS,44938.61188863214,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2016.0,3555350.401185639,3398757.0,9.0,0.0
TOYOTA,LAND CRUISER PRADO,4262.589865000774,2700.0,automatic transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,0,1,0,1,0,0,0,0,2023.0,5807928.06260369,5786555.0,2.0,0.0
BMW,7 SERIES,53229.12789884632,2998.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,0,1,0,0,0,0,0,0,2021.0,10073828.80570251,10268191.0,4.0,1.0
GENESIS,G80,105079.46318995448,3778.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2018.0,5046047.451750807,4658137.0,7.0,2.0
TOYOTA,86,1094.346820096555,2400.0,manual transmission,Petrol,RHD,2WD,4 Seats,2 Doors,coupe,0,1,0,1,0,0,0,0,2024.0,3898244.5285749375,4298901.0,1.0,0.0
TOYOTA,YARIS,9247.100390565043,1600.0,manual transmission,Petrol,RHD,4WD,4 Seats,3 Doors,hatchback,0,1,0,1,0,0,0,1,2022.0,5742572.420634961,5574879.0,3.0,0.0
BMW,M4,58116.139465638094,3000.0,automatic transmission,Petrol,RHD,Other,4 Seats,2 Doors,coupe,1,1,0,1,0,0,1,1,2017.0,7103697.377302679,7740903.0,8.0,1.0
MERCEDES,S CLASS,141438.6254106132,4300.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2015.0,6050160.675444586,5591524.0,10.0,2.0
GENESIS,G90,42625.13608960364,3778.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,7755071.442541625,7563035.0,6.0,0.0
GENESIS,G80,72256.62199333106,2497.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,6868493.708947134,6603739.0,5.0,1.0
KIA,MOHAVE,43423.53256152565,2959.0,automatic transmission,Diesel,LHD,4WD,7 Seats,4 Doors,suv,1,1,0,1,0,0,1,1,2021.0,6656796.235785491,6481256.0,4.0,0.0
BMW,X5,37136.151332225934,3000.0,automatic transmission,Diesel,RHD,4WD,8 Seats,5 Doors,suv,0,1,0,1,0,0,0,1,2020.0,6614822.101286354,6995686.0,5.0,0.0
TOYOTA,PRIUS Z,1158.6879301641843,2000.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2022.0,4720201.547534511,5243388.0,3.0,0.0
GENESIS,G80,39396.58117302883,2497.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,5638114.949651762,6107681.0,5.0,0.0
TOYOTA,CROWN,25086.495764077983,2000.0,automatic transmission,Petrol,RHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,4961837.162014785,4808729.0,4.0,0.0
KIA,K9,9276.748167023672,3778.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2021.0,7227946.390696243,7203280.0,4.0,0.0
TOYOTA,PRIUS,40329.2006526565,1800.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,1,2017.0,2956616.815981953,2734206.0,8.0,0.0
TOYOTA,CROWN HYBRID,64179.57907449268,2500.0,automatic transmission,Hybrid,RHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2018.0,4809291.311059088,4431229.0,7.0,1.0
MERCEDES,E CLASS,83008.7193827333,1991.0,automatic transmission,Petrol,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2018.0,4082128.7281033327,4464205.0,7.0,1.0
GENESIS,G90,97208.36877094928,3342.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,5047710.692723905,5384715.0,6.0,1.0
KIA,K8,17827.741021234637,1598.0,automatic transmission,Hybrid,LHD,2WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2022.0,4973679.777596297,4983975.0,3.0,0.0
BMW,X7,43112.12232013978,3000.0,automatic transmission,Diesel,RHD,4WD,7 Seats,5 Doors,suv,0,1,0,1,0,0,0,1,2018.0,8882470.436059486,8814093.0,7.0,0.0
TOYOTA,RAV4,9636.49330797107,2000.0,automatic transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,0,1,1,2020.0,5425135.829874023,5184659.0,5.0,0.0
GENESIS,G90,99744.85714577344,3342.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2018.0,6507169.965250507,5964470.0,7.0,1.0
TOYOTA,86,22792.366013587285,2000.0,automatic transmission,Petrol,RHD,Other,4 Seats,2 Doors,coupe,1,1,0,1,0,0,1,1,2018.0,5010666.331824116,4883891.0,7.0,0.0
TOYOTA,PRIUS,15491.66182531636,1800.0,automatic transmission,Hybrid,RHD,2WD,5 Seats,5 Doors,hatchback,0,1,0,1,0,0,0,0,2019.0,2828347.961568384,2824655.0,6.0,0.0
TOYOTA,FORTUNER 2.8 TRD 4WD,115202.69964416366,2800.0,automatic transmission,Diesel,RHD,4WD,7 Seats,5 Doors,suv,1,1,0,1,0,1,1,1,2019.0,6586121.612011693,6204255.0,6.0,2.0
TOYOTA,YARIS,57496.12009141649,1500.0,automatic transmission,Hybrid,RHD,Other,5 Seats,5 Doors,hatchback,1,1,0,1,0,0,1,0,2020.0,2486382.056891045,2680345.0,5.0,1.0
GENESIS,G90,112428.0768386872,3778.0,automatic transmission,Petrol,LHD,4WD,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2019.0,5159343.804198206,5146815.0,6.0,2.0
BMW,8 SERIES,23408.399559019857,3000.0,automatic transmission,Petrol,RHD,Other,5 Seats,4 Doors,sedan,1,1,0,1,0,0,1,1,2020.0,7723708.10379391,8553424.0,5.0,0.0
BMW,X4,31175.649721990187,3000.0,automatic transmission,Petrol,RHD,4WD,7 Seats,5 Doors,suv,0,1,0,1,0,0,0,1,2019.0,5637219.635518628,5883914.0,6.0,0.0
